date,holding,strategy_equity,buy_hold_levered
2019-02-11,QLD,128228.30649933344,104441.8017598389
2019-02-12,QLD,132063.50900798893,107565.56960059964
2019-02-13,QLD,132144.4252979884,107631.47582169843
2019-02-14,QLD,132370.97609467598,107816.00117372203
2019-02-15,QLD,133617.00547645768,108830.89060985176
2019-02-19,QLD,134053.92134261449,109186.75805850369
2019-02-20,QLD,134037.74796148855,109173.58485898592
2019-02-21,QLD,132937.35308639496,108277.314553781
2019-02-22,QLD,134960.13687545728,109924.86952247554
2019-02-25,QLD,135931.0706249887,110715.69389627343
2019-02-26,QLD,136173.80714889467,110913.40250369225
2019-02-27,QLD,135947.2563522071,110728.87715166868
2019-02-28,QLD,135316.14879770705,110214.84080590618
2019-03-01,QLD,137290.3754051142,111822.84600841497
2019-03-04,QLD,137225.65718842557,111770.13309858892
2019-03-05,QLD,137419.83653067637,111928.29193982201
2019-03-06,QLD,135801.6094994265,110610.24796486639
2019-03-07,QLD,132500.42487414568,107921.43704925157
2019-03-08,QLD,132031.13755355214,107539.20308980913
2019-03-11,QLD,137549.29765623857,112033.73787122905
2019-03-12,QLD,139102.79412470735,113299.05888048117
2019-03-13,QLD,141125.57791376967,114946.6138491757
2019-03-14,QLD,140591.56003039502,114511.65692402975
2019-03-15,QLD,143002.72719614388,116475.54968694545
2019-03-18,QLD,143747.1101489877,117081.84870871974
2019-03-19,QLD,144782.77446130023,117925.39604822114
2019-03-20,QLD,145866.98360917546,118808.48309803083
2019-03-21,QLD,150349.47939954937,122459.47053994934
2019-03-22,QLD,143617.64902342553,116976.40277731269
2019-03-25,QLD,143245.4513739574,116673.24823848679
2019-03-26,QLD,144540.03793739426,117727.68744080231
2019-03-27,QLD,142824.72123501898,116330.56404523012
2019-03-28,QLD,143277.82282839413,116699.6147492773
2019-03-29,QLD,145527.15741414405,118531.69506999543
2019-04-01,QLD,149427.07813948812,121708.17582058223
2019-04-02,QLD,150349.4793995493,122459.47053994934
2019-04-03,QLD,152080.98182914298,123869.77719091676
2019-04-04,QLD,151951.5207035808,123764.33125950972
2019-04-05,QLD,153440.28660926849,124976.9293030583
2019-04-08,QLD,154233.21439767504,125622.76803514088
2019-04-09,QLD,153149.0052497998,124739.68098533119
2019-04-10,QLD,154799.60373548645,126084.09147107734
2019-04-11,QLD,154039.03505542423,125464.60919390779
2019-04-12,QLD,155301.25016442433,126492.68188543279
2019-04-15,QLD,155317.43589164273,126505.86514082804
2019-04-16,QLD,156369.2735850812,127362.58567984722
2019-04-17,QLD,157421.12362461208,128219.31627474388
2019-04-18,QLD,157760.94981964346,128496.10430277925
