,QLD,Macro_State,Holdings,Strategy_Equity,QLD_Equity
7/11/2018,11.26476669,Invest,QLD,116574.0472,120456.0538
7/12/2018,11.63455009,Invest,QLD,120400.7707,124410.2102
7/13/2018,11.65796757,Invest,QLD,120643.1077,124660.6172
7/16/2018,11.60743141,Invest,QLD,120120.1315,124120.2255
7/17/2018,11.7528801,Invest,QLD,121625.3152,125675.5329
7/18/2018,11.70110893,Invest,QLD,121089.5584,125121.9351
7/19/2018,11.58647728,Invest,QLD,119903.2866,123896.1595
7/20/2018,11.57168674,Invest,QLD,119750.2259,123738.0017
7/23/2018,11.64441013,Invest,QLD,120502.8078,124515.6452
7/24/2018,11.7454834,Invest,QLD,121548.77,125596.4388
7/25/2018,12.06719398,Invest,QLD,124878.0094,129036.5444
7/26/2018,11.71713448,Invest,QLD,121255.3997,125293.299
7/27/2018,11.39419079,Invest,QLD,117913.3995,121840.0075
7/30/2018,11.06755257,Invest,QLD,114533.1662,118347.2099
7/31/2018,11.19451046,Invest,QLD,115846.9968,119704.792
8/1/2018,11.31283855,Invest,QLD,117071.5214,120970.0943
8/2/2018,11.6209898,Invest,QLD,120260.4413,124265.2077
8/3/2018,11.68754959,Invest,QLD,120949.2389,124976.9428
8/6/2018,11.83299732,Invest,QLD,122454.4126,126532.2399
8/7/2018,11.90325451,Invest,QLD,123181.4729,127283.5119
8/8/2018,11.92420959,Invest,QLD,123398.3277,127507.5881
8/9/2018,11.91435051,Invest,QLD,123296.3004,127402.1633
8/10/2018,11.73685551,Invest,QLD,121459.4838,125504.1793
8/13/2018,11.71590042,Invest,QLD,121242.629,125280.103
8/14/2018,11.85764885,Invest,QLD,122709.5202,126795.8429
8/15/2018,11.57291889,Invest,QLD,119762.9769,123751.1773
8/16/2018,11.63701439,Invest,QLD,120426.2726,124436.5613
8/17/2018,11.64317417,Invest,QLD,120490.0174,124502.4289
8/20/2018,11.62592125,Invest,QLD,120311.4746,124317.9405
8/21/2018,11.70604134,Invest,QLD,121140.6017,125174.6782
8/22/2018,11.79232216,Invest,QLD,122033.4835,126097.2936
8/23/2018,11.75780964,Invest,QLD,121676.3288,125728.2453
8/24/2018,11.97351837,Invest,QLD,123908.6022,128034.8552
8/27/2018,12.21510506,Invest,QLD,126408.6752,130618.1825
8/28/2018,12.25331688,Invest,QLD,126804.1122,131026.788
8/29/2018,12.53681374,Invest,QLD,129737.8948,134058.2678
8/30/2018,12.48381424,Invest,QLD,129189.4266,133491.5352
8/31/2018,12.51339626,Invest,QLD,129495.5578,133807.8608
9/4/2018,12.41232395,Invest,QLD,128449.6055,132727.0775
9/5/2018,12.09061337,Invest,QLD,125120.3662,129286.9719
9/6/2018,11.87244225,Invest,QLD,122862.6105,126954.0312
9/7/2018,11.79848385,Invest,QLD,122097.248,126163.1815
9/10/2018,11.85272121,Invest,QLD,122658.5263,126743.1508
9/11/2018,12.03268147,Invest,QLD,124520.8548,128667.4963
9/12/2018,11.96858406,Invest,QLD,123857.5393,127982.0918
9/13/2018,12.20278168,Invest,QLD,126281.146,130486.4066
9/14/2018,12.13868427,Invest,QLD,125617.8305,129801.0021
9/17/2018,11.79602051,Invest,QLD,122071.756,126136.8406
9/18/2018,11.9846096,Invest,QLD,124023.3804,128153.4556
9/19/2018,11.96981812,Invest,QLD,123870.31,127995.2879
9/20/2018,12.21880341,Invest,QLD,126446.9477,130657.7296
9/21/2018,12.09431076,Invest,QLD,125158.6288,129326.5087
9/24/2018,12.15347385,Invest,QLD,125770.8813,129959.1496
9/25/2018,12.19168758,Invest,QLD,126166.3381,130367.7755
9/26/2018,12.20031357,Invest,QLD,126255.6046,130460.0146
9/27/2018,12.4073925,Invest,QLD,128398.5721,132674.3446
9/28/2018,12.4098587,Invest,QLD,128424.0937,132700.7161
10/1/2018,12.45053482,Invest,QLD,128845.0328,133135.6728
10/2/2018,12.39260006,Invest,QLD,128245.4918,132516.1666
10/3/2018,12.42834759,Invest,QLD,128615.427,132898.421
10/4/2018,11.94639587,Invest,QLD,123627.9236,127744.8298
10/5/2018,11.66043377,Invest,QLD,120668.6293,124686.9887
10/8/2018,11.51005554,Blackout period,CASH,120680.5755,123078.9689
10/9/2018,11.57415199,Blackout period,CASH,120692.5229,123764.3631
10/10/2018,10.56588173,Blackout period,CASH,120704.4715,112982.7588
10/11/2018,10.30087376,Blackout period,CASH,120716.4212,110148.9838
10/12/2018,10.87279987,Blackout period,CASH,120728.3721,116264.6863
